day,Open,High,Low,Close
2002-12-11,175.27,175.27,175.27,175.27
2002-11-11,175.19,175.19,175.19,175.19
2002-08-11,174.88,174.88,174.88,174.88
2002-07-11,174.62,174.62,174.62,174.62
2002-06-11,174.84,174.84,174.84,174.84
2002-05-11,175.02,175.02,175.02,175.02
2002-04-11,176.57,176.57,176.57,176.57
2002-01-11,177.35,177.35,177.35,177.35
2002-10-31,177.61,177.61,177.61,177.61
2002-10-30,177.61,177.61,177.61,177.61
2002-10-29,177.92,177.92,177.92,177.92
2002-10-28,178.8,178.8,178.8,178.8
2002-10-25,178.81,178.81,178.81,178.81
2002-10-24,178.94,178.94,178.94,178.94
2002-10-23,179.1,179.1,179.1,179.1
2002-10-22,179.39,179.39,179.39,179.39
2002-10-21,178.66,178.66,178.66,178.66
2002-10-18,178.64,178.64,178.64,178.64
2002-10-17,179.66,179.66,179.66,179.66
2002-10-16,180.13,180.13,180.13,180.13
2002-10-15,180.63,180.63,180.63,180.63
2002-10-14,180.1,180.1,180.1,180.1
2002-11-10,179.33,179.33,179.33,179.33
2002-10-10,179.1,179.1,179.1,179.1
2002-09-10,178.85,178.85,178.85,178.85
2002-08-10,180.02,180.02,180.02,180.02
2002-07-10,181.71,181.71,181.71,181.71
2002-04-10,182.49,182.49,182.49,182.49
2002-03-10,183.4,183.4,183.4,183.4
2002-02-10,182.84,182.84,182.84,182.84
2002-01-10,182.97,182.97,182.97,182.97
2002-09-30,182.13,182.13,182.13,182.13
2002-09-27,182.62,182.62,182.62,182.62
2002-09-26,183.67,183.67,183.67,183.67
2002-09-25,181.66,181.66,181.66,181.66
2002-09-24,179.93,179.93,179.93,179.93
2002-09-23,182.33,182.33,182.33,182.33
2002-09-20,183.83,183.83,183.83,183.83
2002-09-19,184.69,184.69,184.69,184.69
2002-09-18,185.0,185.0,185.0,185.0
2002-09-17,186.87,186.87,186.87,186.87
2002-09-16,188.66,188.66,188.66,188.66
2002-09-13,188.72,188.72,188.72,188.72
2002-12-09,189.14,189.14,189.14,189.14
2002-11-09,189.4,189.4,189.4,189.4
2002-10-09,189.86,189.86,189.86,189.86
2002-09-09,190.21,190.21,190.21,190.21
2002-06-09,190.45,190.45,190.45,190.45
2002-05-09,190.54,190.54,190.54,190.54
2002-04-09,190.59,190.59,190.59,190.59
2002-03-09,191.43,191.43,191.43,191.43
2002-08-30,191.66,191.66,191.66,191.66
2002-08-29,191.28,191.28,191.28,191.28
2002-08-28,190.54,190.54,190.54,190.54
2002-08-27,189.32,189.32,189.32,189.32
2002-08-26,189.97,189.97,189.97,189.97
2002-08-23,190.21,190.21,190.21,190.21
2002-08-22,190.95,190.95,190.95,190.95
2002-08-21,190.9,190.9,190.9,190.9
2002-08-20,190.96,190.96,190.96,190.96
2002-08-19,192.67,192.67,192.67,192.67
2002-08-16,191.67,191.67,191.67,191.67
2002-08-15,189.55,189.55,189.55,189.55
2002-08-14,188.73,188.73,188.73,188.73
2002-08-13,189.78,189.78,189.78,189.78
2002-12-08,191.53,191.53,191.53,191.53
2002-09-08,192.49,192.49,192.49,192.49
2002-08-08,193.39,193.39,193.39,193.39
2002-07-08,194.06,194.06,194.06,194.06
2002-06-08,194.34,194.34,194.34,194.34
2002-05-08,193.67,193.67,193.67,193.67
2002-02-08,195.06,195.06,195.06,195.06
2002-01-08,197.12,197.12,197.12,197.12
2002-07-31,197.57,197.57,197.57,197.57
2002-07-30,196.94,196.94,196.94,196.94
2002-07-29,195.16,195.16,195.16,195.16
2002-07-26,195.79,195.79,195.79,195.79
2002-07-25,194.49,194.49,194.49,194.49
2002-07-24,197.42,197.42,197.42,197.42
2002-07-23,196.85,196.85,196.85,196.85
2002-07-22,193.36,193.36,193.36,193.36
2002-07-19,191.25,191.25,191.25,191.25
2002-07-18,192.42,192.42,192.42,192.42
2002-07-17,194.3,194.3,194.3,194.3
2002-07-16,196.85,196.85,196.85,196.85
2002-07-15,197.37,197.37,197.37,197.37
2002-12-07,198.17,198.17,198.17,198.17
2002-11-07,197.25,197.25,197.25,197.25
2002-10-07,197.27,197.27,197.27,197.27
2002-09-07,199.0,199.0,199.0,199.0
2002-08-07,200.19,200.19,200.19,200.19
2002-05-07,200.5,200.5,200.5,200.5
2002-04-07,199.7,199.7,199.7,199.7
2002-03-07,199.61,199.61,199.61,199.61
2002-02-07,199.94,199.94,199.94,199.94
2002-01-07,200.26,200.26,200.26,200.26
2002-06-28,202.06,202.06,202.06,202.06
2002-06-27,199.61,199.61,199.61,199.61
2002-06-26,200.5,200.5,200.5,200.5
2002-06-25,202.4,202.4,202.4,202.4
2002-06-24,200.5,200.5,200.5,200.5
2002-06-21,196.89,196.89,196.89,196.89
2002-06-20,193.32,193.32,193.32,193.32
2002-06-19,192.13,192.13,192.13,192.13
2002-06-18,195.59,195.59,195.59,195.59
2002-06-17,197.77,197.77,197.77,197.77
2002-06-14,200.75,200.75,200.75,200.75
2002-06-13,202.35,202.35,202.35,202.35
2002-12-06,203.79,203.79,203.79,203.79
2002-11-06,203.53,203.53,203.53,203.53
2002-10-06,204.88,204.88,204.88,204.88
2002-07-06,203.06,203.06,203.06,203.06
2002-06-06,205.07,205.07,205.07,205.07
2002-05-06,205.48,205.48,205.48,205.48
2002-04-06,205.68,205.68,205.68,205.68
2002-03-06,207.81,207.81,207.81,207.81
2002-05-31,207.12,207.12,207.12,207.12
2002-05-30,203.77,203.77,203.77,203.77
2002-05-29,203.65,203.65,203.65,203.65
2002-05-28,205.02,205.02,205.02,205.02
2002-05-27,206.3,206.3,206.3,206.3
2002-05-24,208.04,208.04,208.04,208.04
2002-05-23,208.93,208.93,208.93,208.93
2002-05-22,209.66,209.66,209.66,209.66
2002-05-21,208.93,208.93,208.93,208.93
2002-05-20,208.14,208.14,208.14,208.14
2002-05-17,209.79,209.79,209.79,209.79
2002-05-16,209.08,209.08,209.08,209.08
2002-05-15,209.82,209.82,209.82,209.82
2002-05-14,209.88,209.88,209.88,209.88
